#it	r	rho	J_r	trcS	Srr	A	K
0	0.00000000000000e+00	9.98301144078658e-04	0.00000000000000e+00	2.40000000000000e-04	8.00000000000000e-05	1.00000000000000e+00	0.00000000000000e+00
1	5.55555555555556e+02	9.98301144078658e-04	0.00000000000000e+00	2.40000000000000e-04	8.00000000000000e-05	1.00000000000000e+00	0.00000000000000e+00
2	1.11111111111111e+03	9.98301144078658e-04	0.00000000000000e+00	2.40000000000000e-04	8.00000000000000e-05	2.81340616288589e+13	0.00000000000000e+00
3	1.66666666666667e+03	9.98301144078658e-04	0.00000000000000e+00	2.40000000000000e-04	8.00000000000000e-05	4.96331127524523e+135	0.00000000000000e+00
4	2.22222222222222e+03	9.98301144078658e-04	0.00000000000000e+00	2.40000000000000e-04	8.00000000000000e-05	inf	-nan
5	2.77777777777778e+03	9.98301144078658e-04	0.00000000000000e+00	2.40000000000000e-04	8.00000000000000e-05	-nan	-nan
6	3.33333333333333e+03	9.98301144078658e-04	0.00000000000000e+00	2.40000000000000e-04	8.00000000000000e-05	-nan	-nan
7	3.88888888888889e+03	9.98301144078658e-04	0.00000000000000e+00	2.40000000000000e-04	8.00000000000000e-05	-nan	-nan
8	4.44444444444444e+03	9.98301144078658e-04	0.00000000000000e+00	2.40000000000000e-04	8.00000000000000e-05	-nan	-nan
9	5.00000000000000e+03	9.98301144078658e-04	0.00000000000000e+00	2.40000000000000e-04	8.00000000000000e-05	-nan	-nan
